    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1      TN_START             IDLE                                2023-08-11 17:56:43            2023-08-11 18:21:51          00:25:08        fail   
    1      TN_START             IDLE                                2023-08-11 18:57:20            2023-08-11 19:22:27          00:25:07        fail   
    1      PT_START             IDLE                                2023-08-12 02:02:33            2023-08-12 02:27:40          00:25:07        fail   
    1      PT_START             IDLE                                2023-08-12 10:32:28            2023-08-12 10:32:38          00:00:10        pass   
    2      PT_START             SFCS_CHECK_ROUTE                    2023-08-12 10:32:38            2023-08-12 10:32:38          00:00:01        pass   
    3      PT_CPLD_UPDATE       IDLE                                2023-08-12 10:32:38            2023-08-12 10:32:39          00:00:01        pass   
    4      PT_CPLD_UPDATE       TT2_CPLD_VER_CHECK_OOB              2023-08-12 10:32:39            2023-08-12 11:01:51          00:29:12        pass   
    5      PT_CPLD_UPDATE       TT2_MB_FRU_WRITE                    2023-08-12 11:01:51            2023-08-12 11:02:24          00:00:33        pass   
    6      PT_END               IDLE                                2023-08-12 11:02:24            2023-08-12 11:02:25          00:00:01        pass   
    7      PT_END               SFCS_PASS                           2023-08-12 11:02:25            2023-08-12 11:02:35          00:00:10        pass   
    8      BS_START             IDLE                                2023-08-12 11:02:35            2023-08-12 11:02:36          00:00:01        pass   
    9      BS_START             SFCS_CHECK_ROUTE                    2023-08-12 11:02:37            2023-08-12 11:02:37          00:00:01        pass   
    10     BS_BOOTSTRAP         TT2_BOOTSTRAP                       2023-08-12 11:02:37            2023-08-12 11:39:33          00:36:56        pass   
    11     BS_BOOTSTRAP         TT2_K2V4_VER_OOB                    2023-08-12 11:39:33            2023-08-12 11:39:34          00:00:01        pass   
    12     BS_END               IDLE                                2023-08-12 11:39:34            2023-08-12 11:39:35          00:00:01        pass   
    13     BS_END               SFCS_PASS                           2023-08-12 11:39:35            2023-08-12 11:39:45          00:00:10        pass   
    1      TN_START             IDLE                                2023-08-12 13:05:45            2023-08-12 13:07:07          00:01:22        pass   
    2      TN_START             TT2_INIT_CLEAR                      2023-08-12 13:07:07            2023-08-12 13:07:36          00:00:29        pass   
    3      TN_START             TT2_BFT_RTC_TEST                    2023-08-12 13:07:36            2023-08-12 13:07:44          00:00:08        pass   
    4      TN_START             SFCS_CHECK_ROUTE                    2023-08-12 13:07:44            2023-08-12 13:07:44          00:00:01        pass   
    5      TN_START             SFCS_UPLOAD_TIME                    2023-08-12 13:07:44            2023-08-12 13:07:54          00:00:10        pass   
    6      TN_LOG               IDLE                                2023-08-12 13:07:54            2023-08-12 13:07:55          00:00:01        pass   
    7      TN_LOG               IDLE                                2023-08-12 13:07:55            2023-08-12 13:07:56          00:00:01        pass   
    8      TN_LOG               TT2_MSG_CHECK                       2023-08-12 13:07:56            2023-08-12 13:09:57          00:02:01        pass   
    9      TN_LOG               TT2_MCE_CHECK                       2023-08-12 13:09:57            2023-08-12 13:09:57          00:00:01        pass   
    10     TN_LOG               TT2_SEL_CLEAR                       2023-08-12 13:09:57            2023-08-12 13:10:03          00:00:06        pass   
    11     TN_FW                TT2_BIOS_CHECK                      2023-08-12 13:10:03            2023-08-12 13:45:40          00:35:37        pass   
    12     TN_FW                IDLE                                2023-08-12 13:45:40            2023-08-12 13:45:41          00:00:01        pass   
    13     TN_FW                TT2_BMC_HEALTH_CHECK                2023-08-12 13:45:41            2023-08-12 13:45:44          00:00:03        pass   
    14     TN_FW                TT2_BMC_VER_CHECK                   2023-08-12 13:45:44            2023-08-12 14:10:44          00:25:00        pass   
    15     TN_FW                TT2_CPLD_VER_CHECK                  2023-08-12 14:10:44            2023-08-12 14:11:14          00:00:30        pass   
    16     TN_FW                TT2_FRU_WRITE                       2023-08-12 14:11:14            2023-08-12 14:12:07          00:00:53        pass   
    17     TN_FW                TT2_POWER_AC_CYCLE                  2023-08-12 14:12:07            2023-08-12 14:37:25          00:25:18        pass   
    18     TN_FW                TT2_FRU_CHECK                       2023-08-12 14:37:25            2023-08-12 14:37:34          00:00:09        pass   
    19     TN_FW                TT2_K2V4_VER                        2023-08-12 14:37:34            2023-08-12 14:37:40          00:00:06        pass   
