    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1      PT_START             IDLE                                2023-09-24 02:40:38            2023-09-24 02:40:46          00:00:08        pass   
    2      PT_START             SFCS_CHECK_ROUTE                    2023-09-24 02:40:46            2023-09-24 02:40:46          00:00:01        pass   
    3      PT_FRU_REWORK        IDLE                                2023-09-24 02:40:46            2023-09-24 02:45:47          00:05:01        pass   
    4      PT_FRU_REWORK        TT2_JBOG_BB_FRU_REWORK              2023-09-24 02:45:47            2023-09-24 02:52:39          00:06:52        pass   
    5      PT_FRU_REWORK        TT2_JBOG_FRU_WRITE_PT               2023-09-24 02:52:39            2023-09-24 02:54:50          00:02:11        pass   
    6      PT_FRU_REWORK        TT2_JBOG_FRU_CHECK                  2023-09-24 02:54:51            2023-09-24 02:55:13          00:00:22        pass   
    7      PT_END               IDLE                                2023-09-24 02:55:13            2023-09-24 02:55:14          00:00:01        pass   
    8      PT_END               SFCS_PASS                           2023-09-24 02:55:14            2023-09-24 02:55:24          00:00:10        pass   
    1      TN_START             IDLE                                2023-09-24 02:58:39            2023-09-24 03:04:10          00:05:31        pass   
    2      TN_START             SFCS_CHECK_ROUTE                    2023-09-24 03:04:10            2023-09-24 03:04:11          00:00:01        pass   
    3      TN_START             SFCS_UPLOAD_TIME                    2023-09-24 03:04:11            2023-09-24 03:04:21          00:00:10        pass   
    4      TN_HN_FW             TT2_JBOG_HN_BIOS_CHECK              2023-09-24 03:04:21            2023-09-24 03:04:21          00:00:01        pass   
    5      TN_HN_FW             TT2_JBOG_HN_BMC_VER_CHECK           2023-09-24 03:04:21            2023-09-24 03:04:27          00:00:06        pass   
    6      TN_HN_FW             TT2_JBOG_HN_CPLD_VER_CHECK          2023-09-24 03:04:27            2023-09-24 03:05:10          00:00:43        pass   
    7      TN_HN_FW             IDLE                                2023-09-24 03:05:10            2023-09-24 03:05:11          00:00:01        pass   
    8      TN_HN_FW             IDLE                                2023-09-24 03:05:11            2023-09-24 03:05:12          00:00:01        pass   
    9      TN_HN_FW             IDLE                                2023-09-24 03:05:12            2023-09-24 03:05:13          00:00:01        pass   
    10     TN_HN_FW             IDLE                                2023-09-24 03:05:13            2023-09-24 03:05:15          00:00:02        pass   
    11     TN_HN_FW             IDLE                                2023-09-24 03:05:15            2023-09-24 03:05:16          00:00:01        pass   
    12     TN_DHCP              TT2_JBOG_DHCP_CLEAR                 2023-09-24 03:05:16            2023-09-24 03:05:18          00:00:02        pass   
