ID,Stage,Name,IDLE time
4,TN_PLD,CPU_CONFIG_CHECK,0:02:01
1,TN_PLD,SFCS_ROUTE_CHECK,2:39:36
38,TN,DISK_SMART_CHECK,0:00:01
43,TN,NETWORK_QUICK_STRESS_GP,0:00:15
46,TN,CLEAR_SEL,0:00:01
51,TN,BMC_CYCLE_TEST,0:00:01
83,TN,CPU_CONFIG_CHECK,0:00:01
144,TO,NETWORK_STRESS_GP,0:00:30
145,TO,BMC_SEL_CHECK,0:00:01
155,TP,BMC_SENSOR_CHECK,0:00:01
176,TP,NETWORK_QUICK_STRESS_GP,0:34:48
177,TP,BMC_SEL_CHECK,0:00:03
193,QN,SFCS_PASS,0:00:01
Stage,IDLE_time
TN_PLD,2:41:37
TN,0:00:19
TO,0:00:31
TP,0:34:52
QN,0:00:01
