    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1      IDT_INITIAL          SLEEP_TEST                          2023-10-03 16:22:59            2023-10-03 16:23:07          00:00:09        pass   
    1      IDT_INITIAL          SLEEP_TEST                          2023-10-03 16:22:59            2023-10-03 16:23:07          00:00:08        pass   
    2      IDT_INITIAL          BFT_RTC_TEST                        2023-10-03 16:23:16            2023-10-03 16:23:20          00:00:04        pass   
    3      IDT_INITIAL          SFCS_CHECK_ROUTE                    2023-10-03 16:23:20            2023-10-03 16:23:20          00:00:01        pass   
    4      IDT_INITIAL          UPLOAD_FIXTURE_INFO                 2023-10-03 16:23:20            2023-10-03 16:23:21          00:00:01        pass   
    5      IDT_INITIAL          SFCS_STAGE_START                    2023-10-03 16:23:21            2023-10-03 16:23:22          00:00:01        pass   
    6      IDT_FW_UPDATE        YM3_BMC_UPDATE                      2023-10-03 16:23:22            2023-10-03 16:31:44          00:08:22        pass   
    7      IDT_FW_UPDATE        NETLAKE_NIC_FW_UPDATE               2023-10-03 16:31:44            2023-10-03 16:39:53          00:08:09        pass   
    8      IDT_FW_UPDATE        YM3_NVME_SSD_FW_UPDATE              2023-10-03 16:39:53            2023-10-03 16:41:28          00:01:35        pass   
    9      IDT_FW_UPDATE        YM3_SLOT_DC                         2023-10-03 16:41:28            2023-10-03 16:48:16          00:06:48        pass   
    10     IDT_FW_UPDATE        YM3_BIOS_SETTING_CHECK              2023-10-03 16:48:16            2023-10-03 16:56:36          00:08:20        pass   
    11     IDT_FRU_WRITE        YM35_FRU_WRITE_L10                  2023-10-03 16:56:36            2023-10-03 16:57:29          00:00:53        pass   
    12     IDT_FRU_WRITE        YM35_FRU_CHECK_L10                  2023-10-03 16:57:29            2023-10-03 16:57:30          00:00:01        pass   
    13     IDT_PRE_LOG_CHECK    YM_SEL_CLEAR                        2023-10-03 16:57:30            2023-10-03 16:57:31          00:00:01        pass   
    14     IDT_PRE_LOG_CHECK    YM3_MCE_CHECK                       2023-10-03 16:57:31            2023-10-03 16:57:32          00:00:01        pass   
    15     IDT_PRE_LOG_CHECK    YM3_DMESG_CHECK                     2023-10-03 16:57:32            2023-10-03 16:57:32          00:00:01        pass   
    16     IDT_PRE_LOG_CHECK    YM3_MESSAGES_CHECK                  2023-10-03 16:57:32            2023-10-03 16:57:33          00:00:01        pass   
    17     IDT_PRE_LOG_CHECK    YM3_SEL_CHECK                       2023-10-03 16:57:33            2023-10-03 16:57:33          00:00:01        pass   
    18     IDT_PRE_LOG_CHECK    NETLAKE_SDR_CHECK                   2023-10-03 16:57:33            2023-10-03 16:57:35          00:00:02        pass   
    19     IDT_FW_CHECK         NETLAKE_ME_VER_CHECK                2023-10-03 16:57:35            2023-10-03 16:57:35          00:00:01        pass   
    20     IDT_FW_CHECK         NETLAKE_CPLD_CHECK                  2023-10-03 16:57:35            2023-10-03 16:57:35          00:00:01        pass   
    21     IDT_FW_CHECK         NETLAKE_VR_CHECK                    2023-10-03 16:57:35            2023-10-03 16:57:36          00:00:01        pass   
    22     IDT_FW_CHECK         BIOS_CHECK                          2023-10-03 16:57:36            2023-10-03 16:57:36          00:00:01        pass   
    23     IDT_FW_CHECK         YM3_BMC_VER_CHECK                   2023-10-03 16:57:36            2023-10-03 16:57:37          00:00:01        pass   
    24     IDT_FW_CHECK         YM3_TPM_PCR_CHECK                   2023-10-03 16:57:37            2023-10-03 16:57:38          00:00:01        pass   
    25     IDT_FW_CHECK         YM3_BMC_TPM_VER_CHECK               2023-10-03 16:57:38            2023-10-03 16:57:38          00:00:01        pass   
    26     IDT_FW_CHECK         NETLAKE_ETHTOOL_CHECK               2023-10-03 16:57:38            2023-10-03 16:57:39          00:00:01        pass   
