    ID     Stage                Name                                     Start Time                      End Time               Duration       Result  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1      IDT_INITIAL          SLEEP_TEST                          2023-09-14 20:52:10            2023-09-14 20:52:18          00:00:09        pass   
    1      IDT_INITIAL          SLEEP_TEST                          2023-09-14 20:52:10            2023-09-14 20:52:18          00:00:08        pass   
    2      IDT_INITIAL          BFT_RTC_TEST                        2023-09-14 20:52:46            2023-09-14 20:52:51          00:00:05        pass   
    3      IDT_INITIAL          SFCS_CHECK_ROUTE                    2023-09-14 20:52:51            2023-09-14 20:52:51          00:00:01        pass   
    4      IDT_INITIAL          UPLOAD_FIXTURE_INFO                 2023-09-14 20:52:51            2023-09-14 20:52:52          00:00:01        pass   
    5      IDT_INITIAL          SFCS_STAGE_START                    2023-09-14 20:52:52            2023-09-14 20:52:52          00:00:01        pass   
    6      IDT_INITIAL          YM3_BIOS_SETTING_CHECK              2023-09-14 20:52:52            2023-09-14 20:53:04          00:00:12        pass   
    7      IDT_FW_UPDATE        NETLAKE_NIC_FW_UPDATE               2023-09-14 20:53:04            2023-09-14 21:01:46          00:08:42        pass   
    8      IDT_FW_UPDATE        YM3_BMC_UPDATE                      2023-09-14 21:01:46            2023-09-14 21:10:09          00:08:23        fail   
    1      IDT_INITIAL          SLEEP_TEST                          2023-09-14 21:27:18            2023-09-14 21:27:25          00:00:07        pass   
    2      IDT_INITIAL          BFT_RTC_TEST                        2023-09-14 21:27:25            2023-09-14 21:27:29          00:00:04        pass   
    3      IDT_INITIAL          SFCS_CHECK_ROUTE                    2023-09-14 21:27:29            2023-09-14 21:27:29          00:00:01        pass   
    4      IDT_INITIAL          UPLOAD_FIXTURE_INFO                 2023-09-14 21:27:29            2023-09-14 21:27:30          00:00:01        pass   
    5      IDT_INITIAL          SFCS_STAGE_START                    2023-09-14 21:27:30            2023-09-14 21:27:30          00:00:01        pass   
    6      IDT_INITIAL          YM3_BMC_UPDATE                      2023-09-14 21:27:30            2023-09-14 21:37:03          00:09:33        pass   
    7      IDT_INITIAL          YM3_BIOS_SETTING_CHECK              2023-09-14 21:37:03            2023-09-14 21:37:14          00:00:11        pass   
    8      IDT_FW_UPDATE        NETLAKE_NIC_FW_UPDATE               2023-09-14 21:37:14            2023-09-14 21:37:15          00:00:01        pass   
    9      IDT_FW_UPDATE        YM3_NVME_SSD_FW_UPDATE              2023-09-14 21:37:15            2023-09-14 21:41:50          00:04:36        fail   
    9      IDT_FW_UPDATE        YM3_NVME_SSD_FW_UPDATE              2023-09-14 21:44:06            2023-09-14 21:47:26          00:03:21        fail   
    8      IDT_FW_UPDATE        NETLAKE_NIC_FW_UPDATE               2023-09-14 21:51:50            2023-09-14 21:52:00          00:00:10        pass   
    9      IDT_FW_UPDATE        YM3_NVME_SSD_FW_UPDATE              2023-09-14 21:52:00            2023-09-14 21:52:01          00:00:01        pass   
    10     IDT_FRU_WRITE        YM35_FRU_WRITE_L10                  2023-09-14 21:52:01            2023-09-14 21:52:06          00:00:05        pass   
    11     IDT_FRU_WRITE        YM35_FRU_CHECK_L10                  2023-09-14 21:52:06            2023-09-14 21:52:07          00:00:01        pass   
    12     IDT_PRE_LOG_CHECK    YM_SEL_CLEAR                        2023-09-14 21:52:07            2023-09-14 21:52:08          00:00:01        pass   
    13     IDT_PRE_LOG_CHECK    YM3_MCE_CHECK                       2023-09-14 21:52:08            2023-09-14 21:52:08          00:00:01        pass   
    14     IDT_PRE_LOG_CHECK    YM3_DMESG_CHECK                     2023-09-14 21:52:08            2023-09-14 21:52:09          00:00:01        pass   
    15     IDT_PRE_LOG_CHECK    YM3_MESSAGES_CHECK                  2023-09-14 21:52:09            2023-09-14 21:52:09          00:00:01        pass   
    16     IDT_PRE_LOG_CHECK    YM3_SEL_CHECK                       2023-09-14 21:52:09            2023-09-14 21:52:09          00:00:01        pass   
    17     IDT_PRE_LOG_CHECK    NETLAKE_SDR_CHECK                   2023-09-14 21:52:09            2023-09-14 21:52:11          00:00:02        pass   
    18     IDT_FW_CHECK         NETLAKE_ME_VER_CHECK                2023-09-14 21:52:11            2023-09-14 21:52:11          00:00:01        pass   
    19     IDT_FW_CHECK         NETLAKE_CPLD_CHECK                  2023-09-14 21:52:12            2023-09-14 21:52:12          00:00:01        pass   
    20     IDT_FW_CHECK         NETLAKE_VR_CHECK                    2023-09-14 21:52:12            2023-09-14 21:52:12          00:00:01        pass   
    21     IDT_FW_CHECK         BIOS_CHECK                          2023-09-14 21:52:12            2023-09-14 21:52:13          00:00:01        pass   
